site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-07T18:00+02:00,Patriarkalt påhitt – blir ofta påtvingade hijab,"Maj Martinsson Wiberg, lärare i Svenska som andraspråk, som arbetat med integration sedan tidigt 1980-tal","REPLIK. Abdulla Miri, beklagar sig över att kvinnor i hijab/shariadok fotograferas . Han menar att man i Sverige ”får klä sig som man vill”. Det får man i princip, men hijab är inte vilket plagg som helst. Det är en symbol för islamism; med samma laddning som svastikan eller hammaren och skäran. Islamism är en totalitär ideologi precis som nazism, fascism och kommunism.",https://www.aftonbladet.se/debatt/a/zOxA7O/patriarkalt-pahitt-blir-ofta-patvingade-hijab
Aftonbladet Debatt,2026-07-08T06:30+02:00,Vår uppmaning: Sänk inte straffbarhetsåldern,"Maria Frisk, generalsekreterare Bris; Sam Nissander, t.f. förbundssekreterare Unga Örnars Riksförbund; Malin Persson Giolito, författare och jurist; Gabriella Lavecchia, förbundsordförande Seko, Service- och kommunikationsfacket; Heike Erkers, förbundsordförande Akademikerförbundet SSR; Andreas Holmberg, biskop i Stockholms stift Svenska kyrkan; Elin Wernquist, generalsekreterare Barnrättsbyrån; Ylva Sperling, generalsekreterare Brottsofferjoren Sverige; Sofia Walan, generalsekreterare Civil Rights Defenders; Karin Tennemar, t.f. generalsekreterare Clowner utan Gränser; Anna Karin Hildingson Boqvist, generalsekreterare ECPAT Sverige; Mattias Ingeson, generalsekreterare Erikshjälpen; Britta Lejon, förbundsordförande Fackförbundet ST; Nicklas Nilsson, förbundsordförande Fastighetsanställdas Förbund; Maja Frankel, generalsekreterare Friends; Johan Oljeqvist, vd Fryshuset; Regan McEnroe, ordförande Fältbiologerna; Maria Grahn-Farley, visiting professor Göteborgs Universitet; Eva-Lotta Ramberg, förbundsordförande Hotell- och restaurangfacket, HRF; Måns Molander, Nordic Director Human Rights Watch; Sofia Wikman, professor Högskolan i Gävle; Maritha Jacobsson, professor Institutionen för socialt arbete, Uppsala universitet; Malin Ragnegård, förbundsordförande Kommunal; Nataša Stojković, förbundsordförande Livsmedelsarbetareförbundet; Susanne Björneloo, t.f. generalsekreterare Majblomman; Tapio Salonen, Senior professor Malmö universitet; Kristina Sperkova, förbundsordförande Movendi Sverige; Pontus Georgsson, förbundsordförande Pappers; Kristina Taylor, förbundsordförande Psykologförbundet; Ingela Holmertz, generalsekreterare RFSU; Christina Heilborn, förbundssekreterare Riksförbundet FUB; Lydia Korsgren, förbundsordförande Rädda Barnens Ungdomsförbund; Li Nester, förbundsordförande Röda Korsets Ungdomsförbund; David Sausdal, docent Sociologiska institutionen Lunds Universitet; Jeanette Sundin, generalsekreterare SOS Barnbyar; Peter Andersson, docent i socialt arbete Stockholm universitet; Anna Kaldal, Professor i processrätt och föreståndare för Stockholms barnrättscentrum Stockholms universitet; Urban Pettersson, förbundsordförande Svenska Elektrikerförbundet; Sanna Wolk, ordförande Svenska FN-förbundet; Susannah Sjöberg, generalsekreterare Sveriges kvinnoorganisationer; Jonas Rydberg, generalsekreterare Sveriges Stadsmissioner; Alice Hertzberg, generalsekreterare Tamam; Pernilla Baralt, generalsekreterare UNICEF Sverige; Emmeli Wulfstrand, förbundsordförande Verdandi; Veronica Magnusson, förbundsordförande Vision; Marlene Claesson, generalsekreterare Youth 2030 Movement",Sverige står inför en stor utmaning att vända den utveckling där unga barn begår grova brott. Läget är allvarligt. Därför måste åtgärderna som vidtas ge önskad,https://www.aftonbladet.se/debatt/a/Okz8OV/sank-inte-straffbarhetsaldern-varna-rattsstatens-principer
Aftonbladet Debatt,2026-07-08T10:00+02:00,Tackla arbetslösheten med radikalt jobbpaket,"Elisabeth Thand Ringqvist, partiledare för Centerpartiet; Rasmus Elfström, förbundsordförande Centerstudenter och riksdagskandidat (C)","DEBATT. Den senaste månaden har landets gator fyllts av glada studenter, som med all rätt är stolta över sina färska examensbevis. Men bakom den tillfälliga euforin döljer sig en bister och växande verklighet. Den svenska ungdomsarbetslösheten är enorm, och det mest alarmerande är att den nu har ätit sig in i helt nya grupper. De som har studerat vidare på universitet och högskolor möts i dag av en iskall arbetsmarknad. Att stå med tunga studieskulder men utan en väg in i arbetslivet är inte bara en bister verklighet utan ett enormt slöseri med mänsklig potential och samhällets resurser.",https://www.aftonbladet.se/debatt/a/k0d02B/det-kravs-ett-radikalt-jobbpaket-for-att-satta-unga-och-nyexaminerade-i-arbete
Aftonbladet Debatt,2026-07-08T12:00+02:00,Dags att ta Sverige och barnfamiljerna på allvar,"Mikael Damberg, ekonomisk-politisk talesperson för Socialdemokraterna","DEBATT. De senaste åren har varit tuffa för svenska familjer. Maten har blivit dyrare. Elräkningarna är höga. Hyrorna har höjts och många barnfamiljer har fått vända på varje krona för att få vardagen att gå ihop. Efter fyra förlorade år med SD-regeringen är Sverige fattigare, arbetslösheten högre och vanligt folk mer pressade. Det märks vid köksbordet. Det märks i matkassen. Och det märks nu när sommaren kommer.",https://www.aftonbladet.se/debatt/a/pBK1WW/damberg-s-dags-att-ta-sverige-och-barnfamiljerna-pa-allvar
Aftonbladet Debatt,2026-07-08T18:00+02:00,Är det AI som tvingar jätten att välja sida?,"Martin Rolinski, artist och entreprenör; Torbjörn Sjöström, ordförande Novus, grundare Globeknot",DEBATT. Det låter kanske som en provokation. Men vi menar det på allvar.,https://www.aftonbladet.se/debatt/a/k0dMEA/martin-rolinski-ar-det-ai-som-tvingar-spotify-att-valja-sida
DN Debatt,2026-07-07T20:00+02:00,”Snart är vi en digital koloni – Googleaffären senaste beviset”,två professorer,"DN Debatt. Affären i Torsboda avvecklar Sveriges välstånd. Vi säljer elen – men Google tar vinsten, skriver två professorer.",https://www.dn.se/debatt/snart-ar-vi-en-digital-koloni-googleaffaren-senaste-beviset/
DN Debatt,2026-07-08T20:00+02:00,”90 procent kan få högre inkomster utan klimatkollaps”,Thomas Piketty; Sebastian Silva,"DN Debatt. Klimatkris och ojämlikhet hör ihop, skriver ekonomerna Olivier De Schutter, Thomas Piketty och Sebastian Silva-Leander.",https://www.dn.se/debatt/90-procent-kan-fa-hogre-inkomster-utan-klimatkollaps/
Dagens industri Debatt,2026-07-08T13:00+02:00,Mer tillförsikt än oro inför AI,"Lisa Gunnarsson, Nordenchef Linkedin","Att AI kommer att förändra mycket är ett faktum, inte minst i arbetslivet. Hur förbereder man sig för en framtid som inte tagit form? Jag ser en generation som är nyfiken, ärlig, modig och öppen för förändring. Det är dem jag sätter min tilltro till, skriver Lisa Gunnarsson, Nordenchef Linkedin, i Di:s debattserie Sommarbrevet.",https://www.di.se/debatt/mer-tillforsikt-an-oro-infor-ai/
Dagens industri Debatt,2026-07-08T15:21+02:00,Slutreplik: Flytta inte fokus från verkligheten,"Aida Hadžialić (S), gruppledare i Region Stockholm","För den som väntar på vård hjälper det inte att Tidöpartierna räknar om statistiken. Det som räknas är fler vårdplatser, fler medarbetare och kortare väntetider, skriver Aida Hadžialić (S) gruppledare i Region Stockholm.",https://www.di.se/debatt/slutreplik-flytta-inte-fokus-fran-verkligheten/
Expressen Debatt,2026-07-08T05:00+02:00,DEBATT: Hur kunde Tidö slarva bort det här?,"Åsa Westlund, klimatpolitisk talesperson för Socialdemokraterna; Peter Hultqvist, försvarspolitisk talesperson för Socialdemokraterna","Torka, vattenbrist, skogsbränder, skyfall och översvämningar kommer att bli vanligare. Sveriges beredskap är för låg. Därför kräver vi att regeringen kommer med en akut krisplan, skriver Åsa Westlund (S) och Peter Hultqvist (S).",https://www.expressen.se/debatt/debatt-hur-kunde-tido-slarva-bort-det-har/
Expressen Debatt,2026-07-08T10:15+02:00,DEBATT: S lägger mer på privat vård än M,"Lisa Pelling, chef för den progressiva tankesmedjan Arena Idé","Moderaterna skriver att S-styret i Stockholm prioriterat bort privata vårdaktörer, och att det gjort vården sämre. Vår nya rapport säger tvärtom. Väntetiderna blir kortare och privata aktörer får rekordhöga ersättningar, skriver Lisa Pelling vid tankesmedjan Arena Idé. Lisa Pelling, är chef för den progressiva tankesmedjan Arena Idé.",https://www.expressen.se/debatt/debatt-s-lagger-mer-pa-privat-vard-an-m/
Expressen Debatt,2026-07-08T16:00+02:00,DEBATT: Här behövs en ny minister,"Tobias Andersson; Josef Fransson (SD), riksdagsledamot och sitter i näringsutskottet","Skatteslöseriet är omfattande. Byråkratin växer. Sverigedemokraterna är det enda partiet utan täta band till myndigheter och statliga bolag. Därför kommer vi efter valet driva på för en ny ministerpost. Vi vill ha en effektiviseringsminister, skriver Tobias Andersson (SD) och Josef Fransson (SD). Resurserna kan i stället användas till tre saker: att bygga upp totalförsvaret, göra tandvården billigare och sänka skatten på el, skriver bland annat Tobias Andersson (SD).",https://www.expressen.se/debatt/debatt-har-behovs-en-ny-minister/
GP Debatt,2026-07-08T04:55+02:00,Sverige måste bli bättre på att skapa företagare,"Magnus Demervall, vd Företagarna; Tove Jarl, vd Ung Företagsamhet","Ungdomar drömmer om att driva eget. I Ungdomsbarometern rankar landets unga yrket entreprenör på andraplats på frågan om sina drömyrken. Det bådar gott. För det är entreprenörerna sitter på lösningarna på våra stora utmaningar och möjliggör vårt höga välstånd. Knäckfrågan är hur företagsdrömmarna kan realiseras till livskraftiga företag. Det är en diger uppgift som väntar på nästa regerings bord, skriver Magnus Demervall och Tove Jarl.",https://www.gp.se/debatt/sverige-maste-bli-battre-pa-att-skapa-foretagare.0bf20db0-442e-4828-b715-4850c721c13c
GP Debatt,2026-07-08T05:00+02:00,Göteborgarna förtjänar mer än en debatt om fasader,"Christina Heikel, biträdande Näringspolitisk Chef, Västsvenska Handelskammaren; Jacob Sahlqvist, kontorschef, White Arkitekter Göteborg; Anna Henriksson, vd, Sverigehuset","Debatten om Göteborgs stadsutveckling har under den här mandatperioden hittills handlat om byggnaders uttryck och klassiska stilideal. Vår nya undersökning visar att invånarnas önskemål omfattar betydligt mer än så, skriver tre företrädare för Västsvenska Handelskammaren.",https://www.gp.se/debatt/goteborgarna-fortjanar-mer-an-en-debatt-om-fasader.7dcabb44-190f-43af-bef3-bc7ec6af01e3
SvD Debatt,2026-07-07T19:45+02:00,Debattörer: Vården blir bättre med existentiella perspektiv,läkare och forskare,"DEBATT. I tendensen att medikalisera alla livsproblem finns ett resurs­slöseri långt större än de pengar som Folk­hälso­myndigheten lagt på existentiell hälsa, skriver läkare och forskare.",https://www.svd.se/a/7pBdk9/debattorer-varden-blir-battre-med-existentiella-perspektiv
SvD Debatt,2026-07-08T16:20+02:00,Privattandläkarna: Bristen kan inte lösas utan privat tandvård,företrädare för Privattandläkarna i en replik,DEBATT. Om vi menar allvar med att alla Sveriges invånare ska ha tillgång till tandvård måste vi också ta tillvara hela tandvårdens samlade kapacitet. Det skriver företrädare för Privattandläkarna i en replik.,https://www.svd.se/a/wrxemG/privattandlakarna-bristen-kan-inte-losas-utan-privat-tandvard
SvD Debatt,2026-07-08T16:53+02:00,Debattörer i replik: Montera inte ned screeningen,tre debattörer i en replik,"DEBATT. Ingen seriös person hävdar att mammografi­screeningen är perfekt. Men slutsatsen kan aldrig vara att pausa eller avveckla screeningen, skriver tre debattörer i en replik.",https://www.svd.se/a/aJKG9M/debattorer-i-replik-montera-inte-ned-screeningen
SvD Debatt,2026-07-08T19:45+02:00,Teodorescu Måwe och Brodin: Reformera kampen mot antisemitismen,"Alice Teodorescu Måwe, Kristdemokraterna; Camilla Brodin, Kristdemokraterna",DEBATT. KD-företrädare: I ett läge där antisemitismen i Sverige eskalerar krävs ett nytt helhetsgrepp liknande det som Göran Persson initierade för 30 år sedan. Därför vill vi utreda hur Forum för levande historia ska reformeras.,https://www.svd.se/a/6qW458/teodorescu-mawe-och-brodin-reformera-kampen-mot-antisemitismen
Sydsvenskan Opinion,2026-07-08T05:30+02:00,”Danmark visar att politik kan skapa nya spelregler för ekologisk mat.”,"Charlotte Bladh André, vd för Organic Sweden, branschorganisation för ekologiska producenter","Det bör inte kosta något att bli ekologiskt certifierad, skriver Charlotte Bladh André, vd för Organic Sweden, branschorganisation för ekologiska producenter.",https://www.sydsvenskan.se/opinion/danmark-visar-att-politik-kan-skapa-nya-spelregler-for-ekologisk-mat/
Sydsvenskan Opinion,2026-07-08T18:00+02:00,”De skånska Moderaterna misslyckas inte endast med att stå upp för Skånes invånare.”,sex företrädare för Socialdemokraterna i Skåne,"De skånska Moderaterna har genom sitt agerande motverkat snabba insatser för skånsk elproduktion som hade kunnat sänka elpriserna redan i dag, skriver sex företrädare för Socialdemokraterna i Skåne.",https://www.sydsvenskan.se/opinion/de-skanska-moderaterna-misslyckas-inte-endast-med-att-sta-upp-for-skanes-invanare/
