site,published_at,title,authors,preamble,link
Aftonbladet Debatt,2026-07-08T18:00+02:00,Är det AI som tvingar jätten att välja sida?,"Martin Rolinski, artist och entreprenör; Torbjörn Sjöström, ordförande Novus, grundare Globeknot",DEBATT. Det låter kanske som en provokation. Men vi menar det på allvar.,https://www.aftonbladet.se/debatt/a/k0dMEA/martin-rolinski-ar-det-ai-som-tvingar-spotify-att-valja-sida
Aftonbladet Debatt,2026-07-09T06:30+02:00,LO-förbunden – ska ni fortsätta ta order av S?,"Magnus Persson (SD), ordförande i riksdagens arbetsmarknadsutskott och före detta skyddsombud",DEBATT. För bara någon dryg månad sedan släpptes en ny undersökning av SCB som visar på att Sverigedemokraterna ökar kraftigt inom LO-kollektivet . Detta framför allt på Socialdemokraternas bekostnad.,https://www.aftonbladet.se/debatt/a/5pW881/ska-lo-forbunden-sta-upp-for-sina-medlemmar-eller-fortsatta-ta-order-fran-s
Aftonbladet Debatt,2026-07-09T10:00+02:00,Valfläsk löser inte L:s trovärdighetsproblem,"Linus Lakso (MP), trafikpolitisk talesperson; Sandra Ivanovic Rubin (MP), regionråd Region Stockholm; Mätta Ivarsson (MP), gruppledare Region Skåne",REPLIK. Om Liberalerna verkligen brunnit för billig kollektivtrafik hade det synts under mandatperioden – inte dykt upp kort före valet.,https://www.aftonbladet.se/debatt/a/pBKnOV/mp-valflask-loser-inte-l-s-trovardighetsproblem
DN Debatt,2026-07-08T20:00+02:00,”90 procent kan få högre inkomster utan klimatkollaps”,"Thomas Piketty, professor i ekonomi vid Paris School of Economics och meddirektör för World Inequality Lab; Sebastian Silva; Olivier De Schutter, ordförande för New Economies for Eradicating Poverty och tidigare FN:s särskilda rapportör om extrem fattigdom och mänskliga rättigheter","DN Debatt. Klimatkris och ojämlikhet hör ihop, skriver ekonomerna Olivier De Schutter, Thomas Piketty och Sebastian Silva-Leander.",https://www.dn.se/debatt/90-procent-kan-fa-hogre-inkomster-utan-klimatkollaps/
Expressen Debatt,2026-07-09T05:00+02:00,DEBATT: Kalix är inte till salu,folkvalda i Kalix kommun,"Regeringen har beslutat att avskaffa möjligheten för kommuner att säga nej till uranbrytning. Det gör att vi får bära risken för beslut som tas i Stockholm av folk som tror sig veta bättre. Men kommunen måste ha den avgörande rösten, skriver folkvalda i Kalix kommun. ”Kalixälven är en ovärderlig naturresurs”, skriver företrädare för S, C, MP och V i Kalix kommun.",https://www.expressen.se/debatt/debatt-kalix-ar-inte-till-salu/
GP Debatt,2026-07-09T05:00+02:00,Lyft blicken – elever i friskolor presterar bättre,"Politik Följ, Lärare Följ","Skoldebatten domineras allt för ofta av kritik mot friskolor. Men när friskolorna blivit en central del av det svenska skolsystemet är det också viktigt att tala om vad de faktiskt bidragit med. I en ny rapport lyfter vi fram statistik och fakta som borde intressera alla som vill att fler elever ska lyckas i skolan, skriver Andreas Mörck på Almega Utbildning.",https://www.gp.se/debatt/lyft-blicken-elever-i-friskolor-presterar-battre.9f685cb4-9b41-40a4-a94a-852256197ecf
GP Debatt,2026-07-09T05:00+02:00,Veterinärpriserna skenar – tänker politiken ta kontrollen?,"Roger Pettersson, generalsekreterare, World Animal Protection","En kväll i vintras började en annars frisk familjehund kräkas. Inom timmar var läget akut. På djursjukhuset fanns inga alternativ: vård måste sättas in direkt. Först dagen efter kom frågan: vad kostar det? Svaret: det beror på. Slutnotan landade på närmare 40 000 kronor. Den berättelsen är inte unik. Den är representativ för en snabbt växande frustration bland svenska djurägare över en vård som blivit både dyrare och svårare att överblicka, skriver Roger Pettersson på World Animal Protection.",https://www.gp.se/debatt/veterinarpriserna-skenar-tanker-politiken-ta-kontrollen.630e27cf-5a10-4c54-8a23-c6eb1a52e79f
SvD Debatt,2026-07-08T19:45+02:00,Teodorescu Måwe och Brodin: Reformera kampen mot antisemitismen,"Alice Teodorescu Måwe, Kristdemokraterna; Camilla Brodin, Kristdemokraterna",DEBATT. KD-företrädare: I ett läge där antisemitismen i Sverige eskalerar krävs ett nytt helhetsgrepp liknande det som Göran Persson initierade för 30 år sedan. Därför vill vi utreda hur Forum för levande historia ska reformeras.,https://www.svd.se/a/6qW458/teodorescu-mawe-och-brodin-reformera-kampen-mot-antisemitismen
Sydsvenskan Opinion,2026-07-08T18:00+02:00,”De skånska Moderaterna misslyckas inte endast med att stå upp för Skånes invånare.”,sex företrädare för Socialdemokraterna i Skåne,"De skånska Moderaterna har genom sitt agerande motverkat snabba insatser för skånsk elproduktion som hade kunnat sänka elpriserna redan i dag, skriver sex företrädare för Socialdemokraterna i Skåne.",https://www.sydsvenskan.se/opinion/de-skanska-moderaterna-misslyckas-inte-endast-med-att-sta-upp-for-skanes-invanare/
Sydsvenskan Opinion,2026-07-09T05:30+02:00,”Bygg skyddsvallar i Malmö. Havet bryr sig inte om klimatbokföring.”,"Henrik Reimer, ordförande för Kristdemokraterna i Malmö","En kommuns främsta ansvar är inte att rädda världen, skriver Henrik Reimer, ordförande för Kristdemokraterna i Malmö.",https://www.sydsvenskan.se/opinion/bygg-skyddsvallar-i-malmo-havet-bryr-sig-inte-om-klimatbokforing/
