site,published_at,title,authors,preamble,link
Aftonbladet Ledare,2026-07-08T06:00+02:00,Globaleye en fjäder i hatten för Sverige,Markus Alexandersson,Europa samlar sig i Nato när USA krånglar,https://www.aftonbladet.se/ledare/a/m0zrq4/global-eye-en-fjader-i-hatten-for-sverige
Aftonbladet Ledare,2026-07-08T16:00+02:00,Kristersson borde lyssna på baronen,Markus Alexandersson,Tidös underskottspolitik är osmart,https://www.aftonbladet.se/ledare/a/OkWG21/lyssna-pa-baronen-och-anvand-pengarna-klokt
DN Ledare,2026-07-07T17:57+02:00,Skjutningarna har minskat – men lyssnar vi på de nya larmen?,Viktor Karlsson,"Fler dödsskjutningar klaras upp, men totalt löser Polisen färre brott. Nu behövs tuffa åtgärder för att stoppa brotten innan de begås.",https://www.dn.se/ledare/viktor-karlsson-skjutningarna-har-minskat-men-lyssnar-vi-pa-de-nya-larmen/
DN Ledare,2026-07-08T05:13+02:00,Borde Sverige verkligen ha billigast bensin i EU?,DN:s ledarredaktion,När Sverige har EU:s billigaste bensin har petropopulismen gått för långt. Men inget parti vågar driva förslaget som kan skapa mer el och mindre utsläpp.,https://www.dn.se/ledare/borde-sverige-verkligen-ha-billigast-bensin-i-eu/
DN Ledare,2026-07-08T05:53+02:00,Ledare: Problemet är inte Birgitta Ed,Max Hjelm,Max Hjelm: Tjänsten som aldrig utlystes sticker i ögonen – det är Svenska kyrkan som bör ifrågasättas.,https://www.dn.se/ledare/max-hjelm-birgitta-eds-graddfil-till-prastjobbet-luktar-illa-men-hon-ar-inte-problemet/
DN Ledare,2026-07-08T18:11+02:00,Ledare: Erdogan beter sig som en diktator och alla bara ler,DN:s ledarredaktion,Turkiets president låser in komiker och trädkramande pensionärer. Europas ledare säger inte ett knyst utan ser mannen i Ankara som en reservplan när Donald Trump hotar alliansen. Det är naivt så det förslår.,https://www.dn.se/ledare/erdogan-beter-sig-som-en-diktator-och-alla-bara-ler/
Di Ledare,2026-07-08T15:22+02:00,SAS-expansionen ett resultat av ett bättre ägande,Tobias Wikström,"SAS planerar att utöka sin flotta med 39 nya långdistansplan, vilket kan skapa 25 000 nya jobb i regionen och återuppliva flygbolagets storhetstid.",https://www.di.se/ledare/sas-expansionen-ett-resultat-av-ett-battre-agande/
Expressen Ledare,2026-07-07T18:00+02:00,Nato är beroende av hjälp från Ukraina,Expressens ledarredaktion,Det blir allt tydligare att det inte bara är Ukraina som behöver Nato – Nato är i minst lika stort behov av stöd från Ukraina. Trump och Erdogan är beroende av Ukraina.,https://www.expressen.se/ledare/nato-ar-beroende-av-hjalp-fran-ukraina/
Expressen Ledare,2026-07-08T06:10+02:00,Kameror i hemmet är en lysande idé,Ann-Charlotte Marteus,Teknik i äldreomsorgen framställs ofta som kall och omänsklig. Men den kan ge personer något mycket mänskligt: mer självständighet och mindre obehag. När det rapporteras om kameror i medierna finns det ofta en skeptisk underton.,https://www.expressen.se/ledare/ann-charlotte-marteus/kameror-i-hemmet-ar-en-lysande-ide/
Expressen Ledare,2026-07-08T18:00+02:00,Bomba civila är mindre allvarligt än dopning,Expressens ledarredaktion,"IOK:s beslut att välkomna ryssarna till OS i Los Angeles måste stoppas. Vladimir Putin, efterlyst krigsbrottsling, fick ett glädjebud från IOK.",https://www.expressen.se/ledare/bomba-civila-ar-mindre-allvarligt-an-dopning/
GP Ledare,2026-07-08T05:00+02:00,Den eviga semestern är en mardröm,Klas A. M. Eriksson,Arbetet ska vara meningsfullt och semestern exklusiv och förutsättningslös. Att föra in arbetets effektivitetsanspråk på semestern är att förneka såväl arbete som ledighet.,https://www.gp.se/ledare/den-eviga-semestern-ar-en-mardrom.d473ffbf-df8b-4ad4-9750-3059d153097e
GP Ledare,2026-07-08T17:09+02:00,Göteborg behöver ett styre som gör staden rikare,Håkan Boström,Kommunpolitik väcker främst känslor när den griper in i människors konkreta vardag. Men Göteborgs långsiktiga framtid avgörs av om staden kan locka till sig människor som kan göra den rikare och mer attraktiv att bo i.,https://www.gp.se/ledare/goteborg-behover-ett-styre-som-gor-staden-rikare.ffd633fb-07af-4bf3-b2a0-c656d666a70b
SvD Ledare,2026-07-08T06:00+02:00,Våra pengar ska inte gå till det här,Daniel Schatz,Det återstår ännu mycket att göra med biståndspolitiken.,https://www.svd.se/a/d4MwBj/dra-in-ud-s-miljoner-till-nordkorea
SvD Ledare,2026-07-08T09:30+02:00,Föräldrar behöver stöd av lagen,Sofia Ek Hallonqvist,Åldersgräns för sociala medier är ett av flera viktiga steg.,https://www.svd.se/a/oEwnjg/aldersgrans-for-sociala-medier-vuxenvarlden-behover-samarbeta
SvD Ledare,2026-07-08T16:30+02:00,"Det handlar om fysik, inte politik",Peter Wennblad,"Visst, ny kärnkraft är dyrt – men alternativen är sämre.",https://www.svd.se/a/m0zM81/det-handlar-om-fysik-inte-politik
Sydsvenskan Huvudledare,2026-07-08T17:05+02:00,"Sluta krångla, Svantesson. Momsen är ingen lekstuga.",Sydsvenskans ledarredaktion,"I april sänkte regeringen matmomsen tillfälligt, från 12 procent till 6 procent. Förslaget motiverades med att det skulle underlätta för svenska familjer som haft det tufft ekonomiskt de senaste åren. Reformen har mött kritik. Den är både dyr – 37 miljarder – och jämfört med andra tänkbara satsningar ingen särskilt effektiv konjunkturpolitik. Sänkt matmoms är också ett trubbigt fördelningspolitiskt verktyg. Låginkomsttagare gynnas visserligen mer i procentuella termer eftersom de spenderar en större andel av sin inkomst på mat, men mätt i kronor tillfaller en betydande del av skattesänkningen höginkomsttagare – de handlar ju också mat.",https://www.sydsvenskan.se/opinion/huvudledare/marknaden-ska-satta-priserna-inte-politiker/
